,Block Number,Block Condition,Block Onset Global Time,Block Duration
0,1,Face,0.01017880000108562,10.291043200000786
0,2,scene,20.310215100000278,10.279950900001495
0,3,scrambled,40.5972013999999,10.281039199999213
0,4,Face,60.88619370000015,10.28201799999988
0,5,scene,81.17710319999969,10.274022800000239
0,6,scrambled,101.45823770000061,10.27529499999946
0,7,Face,121.74107399999957,10.275063900000532
0,8,scene,142.02302770000097,10.266338599998562
0,9,scrambled,162.29818160000104,10.273066400000971
0,10,Face,182.5801803000013,10.272145299999465
0,11,scene,202.86010150000038,10.266172499999811
0,12,scrambled,223.1340904000008,10.268202100000053
0,13,Face,243.41037510000024,10.28094880000026
0,14,scene,263.7001216000008,10.275079299999561
0,15,scrambled,283.9831274999997,10.268201299999419
0,16,Face,304.2583867000012,10.26483030000054
0,17,scene,324.5311225000005,10.271161099999517
0,18,scrambled,344.81010349999997,10.273065200000929
0,19,Face,365.09018040000046,10.27405809999982
0,20,scene,385.3710854000001,10.277190800001335
0,21,scrambled,405.65609870000117,10.275140400000964
0,22,Face,425.93829209999967,10.27303849999953
0,23,scene,446.22010899999987,10.2692461000006
0,24,scrambled,466.49719410000034,10.266078300001027
